responseTime,correctCount,incorrectCount,rememberRate,daysSinceLastLearn,isCorrect
5.64,2,2,0.5,25,0
3.25,11,1,0.8571,59,0
1.06,12,0,0.9286,3,0
4.66,10,1,0.8462,39,0
2.93,14,1,0.8824,6,1
10.0,0,7,0.1111,26,0
7.37,6,2,0.7,4,1
1.07,15,0,0.9412,7,1
6.25,3,1,0.6667,26,0
2.88,10,3,0.7333,39,1
1.87,13,0,0.9333,55,0
2.19,12,0,0.9286,53,0
3.59,7,1,0.8,8,0
2.82,7,3,0.6667,5,0
6.78,2,4,0.375,21,0
7.33,3,3,0.5,18,0
3.69,7,2,0.7273,7,1
7.34,3,4,0.4444,3,1
5.27,1,7,0.2,17,0
2.92,6,1,0.7778,6,0
1.6,7,1,0.8,33,0
3.97,7,0,0.8889,2,1
4.27,8,0,0.9,43,0
5.46,9,3,0.7143,4,1
2.98,6,1,0.7778,2,1
4.77,12,1,0.8667,18,0
3.13,7,0,0.8889,7,1
1.68,11,0,0.9231,3,1
3.65,14,2,0.8333,22,0
4.98,2,4,0.375,17,0
2.81,15,1,0.8889,0,0
3.88,14,2,0.8333,57,0
1.23,12,2,0.8125,3,1
1.36,11,2,0.8,3,1
8.56,1,4,0.2857,17,0
3.42,4,2,0.625,16,0
3.97,12,2,0.8125,6,1
2.53,9,2,0.7692,0,1
8.53,2,1,0.6,12,1
2.59,13,0,0.9333,7,1
3.81,15,0,0.9412,34,1
6.06,2,1,0.6,6,0
8.01,2,6,0.3,14,0
6.95,1,3,0.3333,11,0
5.19,0,4,0.1667,3,1
3.93,3,1,0.6667,8,0
2.03,9,1,0.8333,6,1
9.33,1,1,0.5,3,0
3.0,12,2,0.8125,33,0
6.4,9,2,0.7692,8,1
2.77,15,2,0.8421,38,0
4.99,6,3,0.6364,27,0
7.47,4,5,0.4545,3,0
4.26,13,0,0.9333,53,0
6.03,3,3,0.5,4,1
1.87,5,0,0.8571,0,1
6.58,2,7,0.2727,9,0
8.81,1,4,0.2857,15,0
3.41,7,1,0.8,10,1
6.22,1,3,0.3333,30,0
5.0,14,0,0.9375,52,0
2.83,8,2,0.75,9,1
2.82,9,2,0.7692,1,1
5.74,0,3,0.2,28,0
9.46,3,5,0.4,29,0
7.5,1,7,0.2,4,0
5.24,1,1,0.5,15,0
5.46,9,2,0.7692,10,1
8.65,3,1,0.6667,26,0
3.6,9,1,0.8333,6,1
2.08,14,1,0.8824,6,1
8.59,3,6,0.3636,9,0
3.41,8,3,0.6923,18,1
9.31,2,1,0.6,24,0
3.27,14,2,0.8333,28,0
7.34,0,1,0.3333,7,0
1.65,7,2,0.7273,38,0
6.29,4,1,0.7143,18,0
3.79,2,1,0.6,13,0
1.19,7,0,0.8889,1,1
1.73,6,1,0.7778,0,1
3.84,8,0,0.9,3,1
2.39,8,2,0.75,55,0
3.61,9,0,0.9091,24,1
3.45,5,3,0.6,6,0
4.27,9,3,0.7143,55,0
2.21,11,2,0.8,56,0
5.92,2,5,0.3333,27,0
2.34,6,0,0.875,52,0
3.42,14,0,0.9375,2,1
3.84,13,1,0.875,19,0
5.69,3,5,0.4,23,0
3.57,6,3,0.6364,57,0
4.39,5,2,0.6667,3,1
2.89,7,3,0.6667,18,0
2.34,6,1,0.7778,5,0
9.48,2,5,0.3333,24,0
3.33,9,3,0.7143,31,1
5.83,6,5,0.5385,7,1
3.13,9,5,0.625,5,1
2.83,9,0,0.9091,4,1
8.01,3,4,0.4444,26,0
6.09,8,3,0.6923,14,1
2.55,8,4,0.6429,12,0
7.68,2,4,0.375,22,0
3.42,8,2,0.75,7,1
5.9,3,1,0.6667,8,1
1.06,10,1,0.8462,6,1
3.28,6,2,0.7,57,0
4.38,15,0,0.9412,49,1
1.31,14,0,0.9375,0,1
7.4,4,2,0.625,16,0
8.7,0,1,0.3333,30,0
6.43,1,3,0.3333,27,0
7.2,1,1,0.5,28,0
1.95,11,2,0.8,3,1
7.11,1,4,0.2857,5,0
2.73,12,1,0.8667,30,1
1.71,13,0,0.9333,6,1
6.26,3,2,0.5714,12,0
4.16,14,2,0.8333,47,1
6.78,5,5,0.5,6,0
3.54,13,2,0.8235,31,0
6.43,5,5,0.5,12,0
6.46,2,1,0.6,25,0
6.26,5,3,0.6,18,0
4.54,13,0,0.9333,36,1
3.31,12,2,0.8125,0,0
4.19,8,3,0.6923,31,0
5.65,3,4,0.4444,8,1
8.83,3,2,0.5714,26,0
7.27,3,4,0.4444,30,0
3.44,4,5,0.4545,15,0
1.99,5,0,0.8571,1,1
3.66,5,1,0.75,5,0
3.87,5,1,0.75,3,0
1.94,15,2,0.8421,7,0
8.46,0,1,0.3333,30,0
3.49,4,3,0.5556,17,1
2.87,8,0,0.9,54,0
3.99,3,3,0.5,16,0
4.75,7,2,0.7273,33,0
8.02,3,6,0.3636,3,0
6.54,7,4,0.6154,18,0
4.87,11,2,0.8,17,1
9.64,3,5,0.4,13,0
4.89,11,1,0.8571,31,0
5.59,1,2,0.4,22,0
4.2,6,2,0.7,13,0
2.13,9,3,0.7143,17,0
3.26,9,2,0.7692,3,1
1.69,9,0,0.9091,42,0
1.65,11,1,0.8571,7,1
4.35,8,3,0.6923,40,0
3.87,7,2,0.7273,1,1
2.88,12,0,0.9286,47,0
1.57,11,0,0.9231,2,1
7.34,3,1,0.6667,24,0
3.22,7,3,0.6667,26,0
8.29,0,3,0.2,9,0
5.57,3,5,0.4,4,0
1.03,7,2,0.7273,0,1
9.19,1,4,0.2857,19,0
3.65,7,2,0.7273,16,0
3.13,9,3,0.7143,8,0
4.71,7,2,0.7273,5,1
3.79,6,4,0.5833,7,0
4.41,6,4,0.5833,3,1
1.73,7,3,0.6667,21,0
5.39,4,2,0.625,18,0
3.22,4,3,0.5556,13,0
2.37,10,1,0.8462,21,1
5.13,2,4,0.375,25,0
3.45,11,1,0.8571,6,1
3.44,13,2,0.8235,7,1
2.21,7,3,0.6667,16,0
6.49,3,3,0.5,6,0
4.83,10,2,0.7857,51,0
3.84,10,1,0.8462,23,1
4.83,2,2,0.5,5,0
9.63,2,5,0.3333,7,0
6.34,1,3,0.3333,14,0
8.72,2,3,0.4286,3,0
3.06,5,2,0.6667,4,1
6.23,6,2,0.7,16,0
4.57,4,3,0.5556,3,1
6.48,8,3,0.6923,14,0
3.96,15,1,0.8889,45,0
4.36,13,0,0.9333,36,0
9.1,0,5,0.1429,20,0
5.76,8,5,0.6,8,0
4.73,3,4,0.4444,7,1
5.53,3,6,0.3636,29,0
4.29,5,1,0.75,13,0
4.78,12,1,0.8667,19,1
9.59,1,6,0.2222,23,0
5.25,2,4,0.375,6,1
6.38,2,5,0.3333,30,0
6.57,6,2,0.7,3,0
6.27,4,4,0.5,13,0
4.9,9,1,0.8333,29,0
7.96,2,7,0.2727,26,0
6.65,2,2,0.5,26,0
1.76,10,2,0.7857,6,1
4.61,6,2,0.7,4,0
4.26,14,2,0.8333,31,1
3.8,5,2,0.6667,6,1
1.78,13,1,0.875,58,0
1.71,12,0,0.9286,54,0
3.37,15,0,0.9412,44,1
8.47,0,6,0.125,4,0
2.53,13,1,0.875,3,1
5.4,7,2,0.7273,11,1
9.5,2,5,0.3333,7,0
7.28,1,6,0.2222,20,0
1.9,11,2,0.8,24,1
6.82,5,4,0.5455,12,0
2.42,11,0,0.9231,59,0
6.65,2,5,0.3333,7,0
6.62,9,4,0.6667,8,1
3.15,5,2,0.6667,7,1
2.97,6,3,0.6364,21,1
7.26,3,4,0.4444,27,0
1.07,7,0,0.8889,7,1
3.41,9,2,0.7692,11,0
2.47,11,1,0.8571,7,0
7.37,6,4,0.5833,12,0
6.12,0,1,0.3333,21,0
2.83,13,2,0.8235,1,1
4.09,12,3,0.7647,32,1
3.7,15,2,0.8421,1,1
5.55,3,5,0.4,28,0
3.86,7,2,0.7273,1,1
2.52,5,5,0.5,10,0
2.52,9,2,0.7692,6,1
3.99,14,3,0.7895,43,1
2.53,4,2,0.625,3,1
9.08,2,7,0.2727,9,0
3.34,12,2,0.8125,49,0
6.24,2,6,0.3,5,1
4.41,8,1,0.8182,10,1
8.65,0,5,0.1429,23,0
4.15,15,1,0.8889,48,0
1.81,5,0,0.8571,7,1
2.47,8,2,0.75,3,0
3.31,11,1,0.8571,7,0
3.82,10,0,0.9167,59,0
8.12,1,1,0.5,15,0
2.11,11,0,0.9231,0,1
9.71,2,1,0.6,19,0
1.87,15,0,0.9412,48,1
1.9,15,2,0.8421,0,1
1.55,15,3,0.8,39,0
1.88,11,0,0.9231,34,0
8.61,2,2,0.5,8,0
6.16,8,4,0.6429,5,0
1.78,14,1,0.8824,19,0
1.84,12,1,0.8667,50,0
3.31,4,3,0.5556,13,0
3.58,8,1,0.8182,2,1
6.47,6,2,0.7,4,1
4.97,3,1,0.6667,18,0
2.23,5,2,0.6667,3,1
1.26,13,1,0.875,1,1
5.54,3,4,0.4444,7,0
3.66,15,0,0.9412,7,1
4.19,13,2,0.8235,27,0
1.6,7,0,0.8889,29,0
1.57,10,2,0.7857,2,1
2.05,7,2,0.7273,34,0
1.17,10,2,0.7857,0,1
1.09,14,0,0.9375,1,1
1.63,12,1,0.8667,6,0
5.87,1,1,0.5,13,0
7.13,3,4,0.4444,9,0
4.87,10,0,0.9167,35,0
5.63,4,2,0.625,16,0
8.11,1,2,0.4,28,0
8.81,1,2,0.4,9,0
2.69,5,4,0.5455,17,0
7.18,2,4,0.375,8,0
7.78,3,5,0.4,8,0
5.47,5,4,0.5455,18,0
2.52,13,1,0.875,1,1
6.45,2,4,0.375,4,1
8.36,1,2,0.4,5,0
8.57,3,3,0.5,30,0
1.41,9,0,0.9091,2,1
1.41,5,0,0.8571,3,0
1.51,8,3,0.6923,24,0
5.84,0,1,0.3333,19,0
3.32,10,1,0.8462,56,1
3.68,12,1,0.8667,51,0
4.05,8,1,0.8182,28,0
6.99,0,3,0.2,26,0
3.94,5,5,0.5,12,0
4.43,3,3,0.5,16,0
7.07,7,4,0.6154,4,1
7.68,3,4,0.4444,15,0
5.57,2,5,0.3333,10,0
9.31,3,1,0.6667,12,0
3.89,11,0,0.9231,1,1
8.97,2,3,0.4286,18,0
2.9,8,2,0.75,3,1
2.8,8,5,0.6,14,0
3.64,14,2,0.8333,60,0
6.88,0,7,0.1111,9,0
3.38,14,0,0.9375,3,1
4.62,8,2,0.75,2,1
9.72,3,3,0.5,25,0
3.45,6,1,0.7778,20,0
6.38,2,1,0.6,28,0
9.62,3,3,0.5,9,0
1.23,8,1,0.8182,1,1
6.63,6,4,0.5833,2,1
7.7,0,6,0.125,27,0
3.17,12,2,0.8125,3,1
3.91,14,1,0.8824,2,1
5.7,2,2,0.5,10,0
3.49,7,0,0.8889,7,0
7.76,3,7,0.3333,11,0
2.87,8,3,0.6923,16,1
5.39,0,5,0.1429,7,0
2.96,11,1,0.8571,0,1
3.51,7,0,0.8889,7,1
3.32,2,3,0.4286,4,0
9.9,1,5,0.25,28,0
3.45,9,0,0.9091,15,0
9.21,1,5,0.25,17,0
3.6,12,3,0.7647,47,0
4.74,6,4,0.5833,3,1
2.62,7,1,0.8,30,0
3.68,8,3,0.6923,26,0
5.62,9,3,0.7143,5,1
4.29,9,2,0.7692,56,1
3.57,15,0,0.9412,3,1
2.77,6,0,0.875,2,1
3.93,13,2,0.8235,4,1
1.55,8,3,0.6923,39,0
2.91,9,3,0.7143,48,0
9.49,0,6,0.125,9,0
3.22,9,1,0.8333,41,0
6.08,3,2,0.5714,10,0
5.33,0,1,0.3333,29,0
5.6,3,2,0.5714,4,1
6.63,5,2,0.6667,9,1
6.05,7,3,0.6667,4,1
3.7,10,0,0.9167,7,0
1.58,11,2,0.8,52,0
8.82,1,3,0.3333,18,0
3.97,10,1,0.8462,47,0
2.35,12,0,0.9286,4,0
8.49,0,5,0.1429,10,0
6.1,2,3,0.4286,26,0
8.07,0,2,0.25,28,0
7.85,1,2,0.4,19,0
1.77,10,0,0.9167,2,1
1.32,13,1,0.875,4,1
1.52,10,0,0.9167,51,1
6.91,0,6,0.125,5,0
2.88,10,0,0.9167,2,1
1.16,6,0,0.875,3,1
4.03,15,2,0.8421,50,0
8.77,2,2,0.5,23,0
5.84,0,7,0.1111,22,0
8.92,1,4,0.2857,8,0
2.72,10,1,0.8462,17,0
1.49,6,2,0.7,2,1
2.62,8,3,0.6923,48,1
3.14,9,3,0.7143,38,0
6.8,8,2,0.75,7,1
3.63,9,0,0.9091,22,0
2.64,6,2,0.7,7,1
3.57,3,5,0.4,2,1
2.71,10,3,0.7333,33,1
2.04,6,1,0.7778,1,1
9.62,3,7,0.3333,28,0
4.32,10,1,0.8462,18,0
3.12,7,0,0.8889,45,0
4.13,14,1,0.8824,45,0
7.82,2,7,0.2727,20,0
5.58,1,7,0.2,12,0
2.77,7,1,0.8,21,1
6.17,2,3,0.4286,8,0
3.05,7,3,0.6667,6,1
5.96,2,6,0.3,25,0
1.66,10,3,0.7333,47,1
3.57,14,0,0.9375,6,1
1.56,8,1,0.8182,0,1
7.55,3,6,0.3636,4,1
2.48,8,0,0.9,48,0
3.08,8,1,0.8182,1,1
7.14,5,4,0.5455,14,0
8.29,0,2,0.25,15,0
4.17,8,5,0.6,8,1
3.83,8,0,0.9,4,1
5.25,2,1,0.6,12,0
3.13,6,1,0.7778,6,1
4.88,5,5,0.5,14,0
4.22,10,1,0.8462,52,0
2.01,14,0,0.9375,5,1
3.52,13,1,0.875,23,1
8.66,0,1,0.3333,24,0
2.91,9,5,0.625,17,0
4.69,9,2,0.7692,36,1
4.63,8,2,0.75,30,0
8.73,3,3,0.5,8,0
2.41,14,2,0.8333,3,1
2.76,9,3,0.7143,37,0
2.24,8,2,0.75,52,0
1.98,15,2,0.8421,44,0
3.24,4,2,0.625,2,1
3.87,8,0,0.9,0,1
4.43,7,3,0.6667,14,0
8.8,0,6,0.125,22,0
5.17,1,4,0.2857,16,0
1.83,8,0,0.9,7,1
3.87,6,1,0.7778,35,0
6.43,9,1,0.8333,10,1
5.32,7,5,0.5714,18,1
2.88,9,0,0.9091,5,1
2.21,9,2,0.7692,50,0
7.84,0,7,0.1111,16,0
5.15,2,5,0.3333,16,0
3.91,11,3,0.75,37,1
3.34,13,3,0.7778,23,1
5.35,5,5,0.5,8,1
3.22,8,1,0.8182,13,1
5.09,2,3,0.4286,16,1
1.53,6,0,0.875,6,1
3.69,12,1,0.8667,20,1
6.77,1,5,0.25,14,0
5.27,1,5,0.25,29,0
3.35,11,1,0.8571,4,1
6.16,2,1,0.6,9,0
1.98,14,3,0.7895,16,1
3.64,8,1,0.8182,4,1
2.55,13,1,0.875,0,1
9.31,0,3,0.2,10,0
3.8,7,1,0.8,1,1
5.87,1,5,0.25,26,0
4.54,10,2,0.7857,21,1
3.04,14,1,0.8824,2,0
2.39,13,0,0.9333,6,1
2.94,7,2,0.7273,2,1
9.19,0,1,0.3333,22,0
2.19,7,1,0.8,7,0
5.06,5,4,0.5455,9,1
2.27,7,3,0.6667,34,0
5.67,3,1,0.6667,17,1
6.12,3,4,0.4444,9,0
5.07,4,3,0.5556,5,1
1.93,13,0,0.9333,4,0
2.99,7,2,0.7273,6,1
2.65,10,1,0.8462,3,1
3.97,11,1,0.8571,6,1
1.38,6,2,0.7,2,1
7.08,2,3,0.4286,7,0
3.7,14,1,0.8824,2,1
3.4,9,3,0.7143,18,1
8.92,2,6,0.3,22,0
7.45,9,1,0.8333,10,1
5.65,8,1,0.8182,10,1
3.93,14,1,0.8824,5,1
5.43,3,7,0.3333,7,0
6.65,7,2,0.7273,2,1
2.03,6,2,0.7,60,0
2.02,7,0,0.8889,55,0
3.08,5,3,0.6,14,0
1.14,14,2,0.8333,4,1
6.06,4,4,0.5,2,1
2.0,9,1,0.8333,16,0
1.61,14,3,0.7895,33,0
4.56,10,3,0.7333,38,1
2.55,8,2,0.75,29,1
2.56,5,2,0.6667,1,1
4.46,9,2,0.7692,33,0
4.06,6,2,0.7,46,0
4.54,14,3,0.7895,33,0
6.03,9,1,0.8333,2,1
4.25,9,1,0.8333,3,1
1.38,8,1,0.8182,4,0
4.21,2,5,0.3333,18,0
3.25,4,2,0.625,14,0
2.77,9,4,0.6667,15,0
1.25,9,2,0.7692,7,1
3.8,8,1,0.8182,8,0
8.89,1,3,0.3333,29,0
3.68,11,2,0.8,3,1
6.61,7,5,0.5714,14,0
1.87,14,0,0.9375,41,0
6.33,8,5,0.6,7,1
4.4,11,2,0.8,19,0
3.4,14,0,0.9375,5,1
3.75,7,3,0.6667,8,1
2.39,11,0,0.9231,21,0
9.53,1,2,0.4,16,0
5.64,1,2,0.4,26,0
2.06,7,1,0.8,6,1
1.28,8,0,0.9,6,1
2.55,13,1,0.875,0,1
1.44,13,1,0.875,1,1
7.0,2,5,0.3333,16,0
7.13,7,3,0.6667,11,0
2.62,14,0,0.9375,1,0
8.59,0,7,0.1111,21,0
9.48,0,2,0.25,4,0
2.46,9,2,0.7692,2,1
2.54,9,3,0.7143,6,1
1.59,12,1,0.8667,30,1
2.33,11,2,0.8,0,0
5.59,5,2,0.6667,8,0
3.45,15,2,0.8421,0,1
3.38,9,0,0.9091,4,1
5.26,8,5,0.6,2,1
2.95,10,2,0.7857,22,1
4.41,14,1,0.8824,28,1
4.51,10,0,0.9167,36,0
2.63,15,0,0.9412,6,1
1.42,12,1,0.8667,6,1
7.96,3,6,0.3636,10,0
2.78,8,0,0.9,4,1
8.42,2,2,0.5,6,0
7.01,2,5,0.3333,9,0
1.21,12,1,0.8667,4,1
2.31,8,2,0.75,15,1
1.79,9,2,0.7692,2,1
2.66,8,0,0.9,50,0
4.58,8,1,0.8182,47,0
4.94,6,2,0.7,14,1
8.92,3,3,0.5,18,0
6.81,0,7,0.1111,21,0
9.65,3,7,0.3333,20,0
9.55,0,4,0.1667,12,0
8.23,3,7,0.3333,15,0
4.31,5,3,0.6,15,0
2.61,9,2,0.7692,0,1
7.44,9,2,0.7692,5,1
2.12,7,0,0.8889,4,1
9.26,0,2,0.25,20,0
7.45,1,2,0.4,21,0
3.78,11,1,0.8571,0,1
1.64,12,0,0.9286,1,1
7.27,6,1,0.7778,2,1
3.55,13,2,0.8235,6,1
2.93,15,1,0.8889,19,1
5.55,8,2,0.75,6,1
5.4,2,6,0.3,29,0
4.02,15,3,0.8,46,0
2.95,10,0,0.9167,41,0
1.57,10,3,0.7333,43,0
2.51,5,1,0.75,6,1
5.34,5,5,0.5,15,0
1.15,11,2,0.8,2,1
3.91,7,1,0.8,41,0
6.3,4,4,0.5,5,0
7.2,2,1,0.6,20,0
2.08,6,3,0.6364,43,0
3.33,5,0,0.8571,5,1
8.85,0,5,0.1429,23,0
3.82,11,1,0.8571,57,0
5.5,4,1,0.7143,15,0
2.83,4,3,0.5556,13,0
3.07,15,1,0.8889,55,0
4.07,7,1,0.8,8,1
9.19,0,6,0.125,29,0
2.06,5,2,0.6667,0,1
4.68,6,2,0.7,17,0
1.94,15,1,0.8889,59,0
5.33,5,2,0.6667,4,1
9.75,1,3,0.3333,30,0
6.79,2,1,0.6,12,0
5.41,0,5,0.1429,24,0
2.89,3,5,0.4,15,0
1.64,12,2,0.8125,2,1
4.12,3,4,0.4444,10,0
3.25,9,3,0.7143,39,0
3.66,8,5,0.6,16,0
3.28,5,0,0.8571,0,1
1.41,13,1,0.875,3,1
2.96,10,1,0.8462,46,0
2.34,13,3,0.7778,31,1
2.79,5,0,0.8571,3,1
3.07,13,1,0.875,7,0
2.77,6,0,0.875,1,1
3.73,13,1,0.875,0,1
6.51,2,1,0.6,11,0
3.84,3,4,0.4444,16,0
8.27,3,5,0.4,13,0
3.0,15,0,0.9412,6,0
3.83,12,0,0.9286,4,1
3.12,10,0,0.9167,4,1
3.58,12,2,0.8125,5,1
4.36,9,1,0.8333,17,1
4.99,6,3,0.6364,5,0
6.16,0,4,0.1667,11,0
9.6,3,1,0.6667,15,0
1.99,14,1,0.8824,15,1
4.44,3,2,0.5714,3,1
4.22,8,2,0.75,46,0
4.17,8,0,0.9,43,0
6.2,2,3,0.4286,5,0
1.2,14,1,0.8824,2,1
8.19,1,6,0.2222,18,0
8.44,0,1,0.3333,16,0
3.13,9,5,0.625,2,1
3.28,10,1,0.8462,56,0
4.55,5,2,0.6667,16,0
6.03,2,3,0.4286,26,0
2.61,5,0,0.8571,7,1
3.87,7,3,0.6667,2,1
8.98,0,7,0.1111,14,0
6.28,2,5,0.3333,6,0
4.35,4,1,0.7143,2,1
4.43,14,3,0.7895,39,0
7.07,0,3,0.2,19,1
1.53,5,0,0.8571,6,0
